"term","frequency"
"的",5350
"我",2259
"U",1976
"Submitted",1834
"是",1745
"你",1724
"CST",1641
"了",1442
"E",1309
"200",1292
"在",1187
"2017",1064
"PM",1025
"都",1020
"就",875
"不",812
"也",801
"台大",800
"有",799
"人",773
"女友",682
"我要",661
"嗎",624
"Time",613
"2015",605
"2016",601
"要",597
"November",581
"很",546
"AM",543
"跟",539
"可以",522
"自己",518
"好",495
"說",493
"10",472
"什麼",460
"他",459
"月",456
"12",452
"年",452
"11",434
"日",432
"日期",422
"為",406
"幹",403
"會",401
"被",396
"我們",387
"你們",376
"00",367
"8",363
"9",359
"啊",353
"想",352
"去",351
"真的",348
"知道",346
"不要",340
"一個",333
"就是",321
"不是",315
"沒有",309
"讓",287
"又",282
"到",280
"啦",273
"m",270
"但",260
"沒",259
"投稿",256
"覺得",244
"這樣",242
"吧",241
"看",241
"還我表特",241
"5",240
"1",238
"6",232
"上",232
"還是",231
"大家",230
"把",230
"7",225
"2",223
"4",220
"04",218
"別人",216
"05",215
"那",213
"不會",210
"對",209
"3",208
"06",201
"怎麼",200
"和",197
"妳",196
"因為",193
"01",190
"做",190
"03",187
"p",185
"這",185
"他們",180
"喔",180
"ed",178
"來",177
"才",176
"一直",174
"看到",172
"多",170
"所以",170
"07",167
"學生",167
"如果",165
"提交",164
"23",162
"09",161
"22",160
"女生",159
"呢",159
"21",155
"一下",155
"15",154
"再",154
"現在",153
"還",153
"一",147
"但是",146
"阿",146
"然後",146
"用",143
"一樣",142
"20",141
"有沒有",141
"14",140
"18",140
"同學",140
"這個",138
"學長",138
"June",137
"那麼",137
"朋友",137
"到底",135
"大",134
"02",133
"16",133
"19",133
"08",132
"出來",131
"13",130
"時候",130
"30",128
"一堆",128
"已經",128
"誰",127
"25",126
"很多",126
"這麼",125
"喜歡",125
"她",124
"系",123
"17",122
"後",121
"能",121
"著",121
"應該",121
"27",120
"不能",120
"只是",118
"24",117
"中",117
"這種",117
"卻",116
"女朋友",114
"有人",113
"老師",113
"是不是",113
"問題",113
"與",113
"com",111
"東西",110
"31",109
"Wednesday",109
"黑特",108
"Thursday",107
"一點",107
"而",107
"https",106
"那些",106
"個",106
"28",105
"吃",105
"椰林",103
"還有",103
"Friday",101
"May",100
"X",100
"ㄏ",100
"之歌",100
"　",99
"那個",99
"教授",99
"請",99
"希望",98
"29",97
"那邊",97
"得",97
"a",94
"更",94
"A0",93
"26",92
"比",92
"最",92
"學校",92
"室友",91
"開始",91
"比較",89
"台",88
"們",88
"這些",88
"大學",87
"今天",87
"找",87
"需要",87
"叫",86
"結果",86
"想交",86
"一定",85
"或",85
"tag",84
"小",84
"像",84
"請問",84
"一起",83
"只",82
"男生",82
"Tuesday",81
"男",81
"師大",81
"就算",81
"BD",80
"以",80
"時間",80
"發現",79
"當",79
"Monday",78
"QQ",78
"活動",78
"根本",78
"想要",78
"而且",77
"事",77
"喵",77
"幫",77
"雖然",77
"呱呱",76
"其他",75
"其實",75
"還要",75
"56",74
"www",74
"不過",74
"太",74
"打",74
"死",74
"他媽的",73
"不到",72
"台灣",72
"拿",71
"宿舍",71
"等",71
"57",70
"只有",70
"可能",70
"好像",70
"事情",70
"的話",70
"欸",70
"給",70
"Saturday",69
"走",69
"37",68
"Sunday",68
"最後",68
"可是",67
"怎樣",67
"高",67
"該",67
"38",66
"40",66
"55",66
"之前",66
"只會",66
"社會",66
"認識",66
"49",65
"October",65
"以後",65
"各位",65
"拜託",65
"不想",64
"從",64
"畢業",64
"每次",63
"33",62
"42",62
"求",62
"最近",62
"感覺",62
"不用",61
"甚麼",61
"34",60
"B8",60
"上課",60
"出",60
"討論",60
"靠",60
"32",59
"之後",59
"完全",59
"前",59
"學弟",59
"41",58
"http",58
"直接",58
"課",58
"39",57
"51",57
"53",57
"September",57
"生",57
"或是",57
"36",56
"54",56
"43",55
"文",55
"地方",55
"看看",55
"媽的",55
"Jan",54
"完",54
"整個",54
"47",53
"人家",53
"48",52
"A",52
"真是",52
"52",51
"一次",51
"三",51
"快",51
"寫",51
"58",50
"59",50
"他媽",50
"有些",50
"時",50
"搞",50
"懂",50
"系上",49
"認真",49
"聽",49
"44",48
"XX",48
"下",48
"先",48
"成績",48
"有點",48
"長",48
"這裡",48
"期中考",48
"錢",48
"45",47
"50",47
"B",47
"ㄇ",47
"而已",47
"吵",47
"所",47
"個人",47
"46",46
"一群",46
"不好",46
"裡",46
"認為",46
"靠北",46
"八卦",45
"不然",45
"好好",45
"考試",45
"每天",45
"兩個",45
"明明",45
"腳踏車",45
"對於",45
"謝謝",45
"繼續",45
"讀",45
"March",44
"娘",44
"高中",44
"超",44
"機會",44
"聽說",44
"35",43
"回",43
"你媽",43
"玩",43
"原來",43
"真",43
"討厭",43
"陳",43
"無法",43
"當然",43
"遇到",43
"願意",43
"工作",42
"之",42
"只能",42
"哪裡",42
"站",42
"連",42
"中國",41
"笑",41
"馬",41
"尊重",41
"機械系",41
"大概",40
"大學生",40
"可愛",40
"身邊",40
"那種",40
"非常",40
"能力",40
"起來",40
"這是",40
"幾個",40
"買",40
"幹嘛",40
"整天",40
"不行",39
"以為",39
"每個",39
"拉",39
"大聲",38
"努力",38
"要求",38
"廁所",38
"黑",38
"裡面",38
"讀書",38
"FALSE",37
"各種",37
"肥宅",37
"教",37
"anonymonkey",36
"Harassment",36
"moderators",36
"report",36
"Reporting",36
"tw",36
"別",36
"社團",36
"某",36
"甚至",36
"研究",36
"穿",36
"教室",36
"睡覺",36
"臺大",36
"總圖",36
"Tag",35
"之夜",35
"世界",35
"未來",35
"回來",35
"老闆",35
"考",35
"來說",35
"呵呵",35
"垃圾",35
"所有",35
"留言",35
"智障",35
"電機",35
"噁心",35
"廢物",35
"April",34
"C",34
"E5",34
"代表",34
"存在",34
"後來",34
"相信",34
"約",34
"旁邊",34
"臭",34
"亂",34
"想法",34
"學",34
"還在",34
"一些",33
"人生",33
"內容",33
"外面",33
"如何",33
"作弊",33
"到處",33
"拎",33
"哪",33
"參加",33
"常常",33
"聊天",33
"跑",33
"話",33
"過",33
"睡",33
"論文",33
"學術",33
"難道",33
"讚",33
"至少",32
"找到",32
"妹",32
"後面",32
"耶",32
"負責",32
"乾",32
"教育",32
"路",32
"管院",32
"操",32
"一天",31
"小孩",31
"只要",31
"任何",31
"自以",31
"男孩",31
"砲",31
"除了",31
"啥",31
"幾乎",31
"嗚嗚",31
"愛",31
"罵",31
"臉",31
"上面",30
"不同",30
"心",30
"方式",30
"永遠",30
"生活",30
"決定",30
"沒人",30
"非",30
"重要",30
"家長",30
"記得",30
"期中",30
"開",30
"January",29
"一種",29
"手機",29
"地",29
"多少",29
"念",29
"怕",29
"版",29
"前面",29
"研究所",29
"帶",29
"報告",29
"發文",29
"程度",29
"進來",29
"嘴",29
"課程",29
"幫忙",29
"騎",29
"聽到",29
"August",28
"D",28
"一位",28
"忘記",28
"居然",28
"放",28
"哦",28
"差",28
"特別",28
"晚上",28
"新",28
"資源",28
"學妹",28
"講話",28
"0082",27
"December",27
"中心",27
"反正",27
"日本",27
"以上",27
"半夜",27
"必須",27
"名字",27
"男人",27
"男朋友",27
"空間",27
"屌",27
"是否",27
"修",27
"國企",27
"接受",27
"開心",27
"實在",27
"厲害",27
"囉",27
"變成",27
"po",26
"女",26
"不爽",26
"出現",26
"另外",26
"字",26
"忙",26
"衣服",26
"呀",26
"告訴",26
"其他人",26
"妹子",26
"孩子",26
"崩潰",26
"您",26
"畢竟",26
"第一",26
"處理",26
"最好",26
"準備",26
"過去",26
"隨便",26
"講",26
"爛",26
"Feb",25
"才能",25
"不如",25
"分數",25
"出清",25
"只好",25
"可不可以",25
"好多",25
"住",25
"花",25
"宣傳",25
"科系",25
"素質",25
"問",25
"就要",25
"期末",25
"態度",25
"說話",25
"賣",25
"壓力",25
"ㄓ",24
"一年",24
"小心",24
"不敢",24
"出國",24
"全部",24
"吃飯",24
"有個",24
"助教",24
"抓",24
"那位",24
"並",24
"房間",24
"抱歉",24
"咧",24
"怎麼辦",24
"突然",24
"要說",24
"真正",24
"竟然",24
"絕對",24
"貼",24
"進",24
"幹幹",24
"當初",24
"腦袋",24
"辦",24
"邊緣",24
"難過",24
"EF",23
"x",23
"ㄎ",23
"下面",23
"以前",23
"正",23
"有夠",23
"而是",23
"行為",23
"作業",23
"很難",23
"重點",23
"剛剛",23
"國家",23
"發生",23
"週",23
"嗆",23
"新生",23
"經濟系",23
"算",23
"趕快",23
"學生會",23
"學會",23
"學歷",23
"辦法",23
"E6",22
"xx",22
"一個月",22
"女中",22
"女性",22
"分",22
"尤其",22
"支持",22
"我會",22
"男友",22
"使用",22
"或者",22
"歧視",22
"政治",22
"看起來",22
"哪個",22
"唉",22
"容易",22
"唸",22
"得到",22
"幹部",22
"道德",22
"確定",22
"選擇",22
"還沒",22
"禮拜",22
"簡單",22
"難",22
"facebook",21
"ㄧ",21
"一切",21
"了解",21
"二",21
"不夠",21
"不管",21
"公司",21
"分手",21
"分享",21
"台北",21
"本來",21
"同時",21
"好嗎",21
"於是",21
"注意",21
"哈哈哈",21
"屎",21
"帥",21
"帥哥",21
"英文",21
"訊息",21
"送",21
"偷偷",21
"匿名",21
"理解",21
"單身",21
"黃",21
"想想",21
"意見",21
"感到",21
"實驗",21
"撞",21
"樣子",21
"錯",21
"聲音",21
"臉書",21
"講座",21
"醫學系",21
"醫學院",21
"騎車",21
"難怪",21
"QAQ",20
"Sept",20
"一張",20
"大一",20
"大學部",20
"子題",20
"小編",20
"今年",20
"少",20
"方法",20
"可",20
"回答",20
"考上",20
"辛苦",20
"奇怪",20
"於",20
"某個",20
"洗",20
"倒",20
"祝",20
"清楚",20
"期待",20
"開放",20
"經濟",20
"嘛",20
"魯",20
"還會",20
"離開",20
"題目",20
"關心",20
"關係",20
"BC",19
"news",19
"PO",19
"ㄟ",19
"人數",19
"久",19
"工具",19
"去年",19
"可憐",19
"丟臉",19
"成功",19
"早就",19
"言論",19
"身為",19
"或許",19
"明天",19
"社科院",19
"哈哈",19
"音樂",19
"原本",19
"家教",19
"掉",19
"爽",19
"提供",19
"感受",19
"感謝",19
"新聞",19
"電機系",19
"對方",19
"認同",19
"學期",19
"憑",19
"環境",19
"總召",19
"總是",19
"邏輯",19
"0",18
"2513",18
"三小",18
"大二",18
"小妹",18
"中午",18
"互相",18
"及",18
"出去",18
"加油",18
"台科",18
"正妹",18
"由",18
"目前",18
"丟",18
"回家",18
"因",18
"如",18
"位置",18
"低",18
"底下",18
"承認",18
"表演",18
"洗澡",18
"原因",18
"能夠",18
"這件",18
"渣",18
"無聊",18
"集思",18
"感情",18
"經過",18
"經驗",18
"學姊",18
"機械",18
"興趣",18
"選",18
"還能",18
"2503",17
"251",17
"一句",17
"一般",17
"三個",17
"上台",17
"下次",17
"小時",17
"之類",17
"交",17
"同",17
"因此",17
"如此",17
"安全",17
"有時候",17
"別的",17
"志願",17
"攻擊",17
"身上",17
"那裡",17
"其中",17
"法律系",17
"狀況",17
"表示",17
"面",17
"哭",17
"書",17
"真心",17
"針對",17
"第一次",17
"幾天",17
"曾經",17
"期末考",17
"想到",17
"搶",17
"照",17
"逼",17
"遊戲",17
"說好",17
"輔導",17
"學習",17
"總",17
"008",16
"B1",16
"FB",16
"小弟",16
"不少",16
"中間",16
"心態",16
"文章",16
"比賽",16
"加入",16
"正義",16
"向",16
"好友",16
"老子",16
"低能",16
"你家",16
"告白",16
"坐",16
"每",16
"其",16
"刷",16
"呱",16
"姐",16
"者",16
"咪",16
"故意",16
"某些",16
"為何",16
"看來",16
"研究生",16
"若",16
"面對",16
"害",16
"家",16
"拿到",16
"校園",16
"粉專",16
"理由",16
"聊",16
"這位",16
"這邊",16
"提醒",16
"等等",16
"越",16
"越來越",16
"進去",16
"順便",16
"黑面",16
"當時",16
"道歉",16
"隔壁",16
"電腦",16
"圖書館",16
"實力",16
"對不起",16
"噁",16
"學店",16
"轉系",16
"騙",16
"100",15
"gl",15
"goo",15
"NTU",15
"ㄌ",15
"一半",15
"一篇",15
"也許",15
"女孩",15
"不知",15
"不錯",15
"心中",15
"令人",15
"加",15
"北",15
"尻",15
"平常",15
"申請",15
"同樣",15
"成",15
"早",15
"早上",15
"位子",15
"吸引",15
"忘",15
"改變",15
"更好",15
"事件",15
"念書",15
"性",15
"法律",15
"按",15
"要來",15
"唷",15
"粉絲",15
"高中生",15
"停",15
"偷",15
"唯一",15
"專業",15
"情況",15
"排",15
"眼睛",15
"許多",15
"然而",15
"發",15
"媽媽",15
"想像",15
"意義",15
"瑋",15
"補個",15
"資料",15
"資格",15
"電話",15
"實驗室",15
"魯蛇",15
"學生證",15
"選舉",15
"幫助",15
"戴",15
"點",15
"關注",15
"麵",15
"80",14
"87",14
"B4",14
"E7",14
"下午",14
"女人",14
"已",14
"水",14
"水準",14
"安靜",14
"老",14
"尿",14
"弄",14
"改名",14
"沒什麼",14
"沒想到",14
"沒錯",14
"系館",14
"來看",14
"味",14
"建議",14
"思考",14
"政治系",14
"面試",14
"候選人",14
"退學",14
"啊啊啊",14
"部分",14
"剩下",14
"掰",14
"棒棒",14
"超級",14
"微積分",14
"惹",14
"意思",14
"溝通",14
"聖經",14
"像是",14
"臺灣",14
"廢",14
"熱舞",14
"課本",14
"論壇",14
"適合",14
"擁有",14
"檢舉",14
"蹦蹦",14
"醫生",14
"雞",14
"爆",14
"關於",14
"250",13
"2764",13
"youtube",13
"一天到晚",13
"一件",13
"三樓",13
"大三",13
"大陸",13
"小團體",13
"不了",13
"不再",13
"不見",13
"化",13
"以下",13
"以及",13
"另",13
"生命",13
"白癡",13
"企業",13
"全",13
"好不好",13
"年紀",13
"自",13
"自由",13
"自殺",13
"血統",13
"似乎",13
"你好",13
"坐在",13
"屁股",13
"批評",13
"沒關係",13
"事實",13
"使",13
"所有人",13
"所謂",13
"拉基",13
"拍",13
"拒絕",13
"放棄",13
"知識",13
"附近",13
"很帥",13
"昨天",13
"洨",13
"看見",13
"看著",13
"科大",13
"剛好",13
"校方",13
"浪費",13
"追",13
"馬上",13
"假",13
"做出",13
"參與",13
"唱",13
"國際",13
"組",13
"組員",13
"這次",13
"陪",13
"麻煩",13
"喇",13
"敢",13
"結婚",13
"給我",13
"菜",13
"傻眼",13
"嗨",13
"歲",13
"照片",13
"資訊",13
"過程",13
"管",13
"綠",13
"說真的",13
"領域",13
"罷免",13
"歷史",13
"積極",13
"還以",13
"證明",13
"贊助",13
"議題",13
"89",12
"E8",12
"E9",12
"imgur",12
"ptt",12
"ts",12
"v",12
"watch",12
"ㄉ",12
"一中",12
"人才",12
"人員",12
"下去",12
"下限",12
"大四",12
"不好意思",12
"之間",12
"公關部",12
"分析",12
"反串",12
"心情",12
"他人",12
"可悲",12
"四個",12
"外",12
"它",12
"必要",12
"生機",12
"合作",12
"收",12
"考慮",12
"自助餐",12
"自私",12
"自習室",12
"我還",12
"男性",12
"走廊",12
"身體",12
"並且",12
"取消",12
"受到",12
"怪",12
"抽",12
"放在",12
"爸媽",12
"物理系",12
"社",12
"便宜",12
"咬",12
"哇",12
"故事",12
"趴",12
"面具",12
"食物",12
"拿來",12
"笑話",12
"級",12
"乾淨",12
"假裝",12
"宿營",12
"理論",12
"終於",12
"規定",12
"設計",12
"部",12
"喝",12
"幾點",12
"煮",12
"痛苦",12
"發表",12
"程式",12
"等到",12
"結束",12
"給你",12
"舒服",12
"超過",12
"間",12
"雄友",12
"雄友會",12
"想問",12
"感",12
"腳",12
"解決",12
"躲",12
"道",12
"實習",12
"槍",12
"漂亮",12
"網路",12
"網路上",12
"誒",12
"嘴巴",12
"影響",12
"複製",12
"營隊",12
"獲得",12
"總之",12
"聯絡",12
"歡迎",12
"變態",12
"灣",12
"article",11
"B3",11
"fb",11
"R",11
"XXX",11
"一輩子",11
"了嗎",11
"大部分",11
"子",11
"不停",11
"元",11
"化學",11
"反應",11
"天天",11
"心輔",11
"手",11
"主動",11
"以來",11
"可怕",11
"四年",11
"白痴",11
"交流",11
"合併",11
"多久",11
"好不容易",11
"好玩",11
"有種",11
"考不上",11
"至於",11
"助理",11
"即使",11
"依然",11
"兩年",11
"孤單",11
"往",11
"性別",11
"明白",11
"服務",11
"林",11
"狗",11
"宣傳照",11
"很爽",11
"很棒",11
"很會",11
"炫耀",11
"盃",11
"相處",11
"相關",11
"美好",11
"要是",11
"香港",11
"個性",11
"害怕",11
"座位",11
"書院",11
"神",11
"起",11
"馬桶",11
"鬼",11
"偏偏",11
"問卷",11
"國北",11
"國外",11
"國民黨",11
"婊",11
"情緒",11
"清",11
"異性",11
"這篇",11
"通知",11
"造成",11
"部長",11
"部員",11
"博士班",11
"最大",11
"欺負",11
"稍微",11
"貼文",11
"開學",11
"隊長",11
"解釋",11
"誇張",11
"誠信度",11
"路上",11
"圖",11
"團隊",11
"實際上",11
"維持",11
"舞社",11
"製造",11
"價格",11
"數學",11
"戰",11
"檢討",11
"聯盟",11
"講者",11
"還不",11
"還說",11
"轉學",11
"醫科",11
"懷疑",11
"難聽",11
"嚴重",11
"嚼",11
"戀愛",11
"2517",10
"appledaily",10
"Aug",10
"dcard",10
"E4",10
"FF9F",10
"M",10
"story",10
"XD",10
"ㄅ",10
"人士",10
"八",10
"上次",10
"下來",10
"大大",10
"不足",10
"不怕",10
"不斷",10
"公平",10
"分鐘",10
"反對",10
"天",10
"心理",10
"文案",10
"方便",10
"加上",10
"召部",10
"失敗",10
"白飯",10
"目的",10
"先生",10
"再說",10
"各",10
"同意",10
"回到",10
"回頭",10
"回應",10
"回覆",10
"年輕",10
"有錢",10
"考前",10
"自我",10
"自然",10
"低能兒",10
"作",10
"作為",10
"免費",10
"冷氣",10
"利用",10
"吵到",10
"困難",10
"床上",10
"快點",10
"扯",10
"投票",10
"材料",10
"沒差",10
"男一",10
"男子",10
"系統",10
"那樣",10
"乖乖",10
"享受",10
"併",10
"來自",10
"例如",10
"坨",10
"妳們",10
"房",10
"抱怨",10
"明顯",10
"杯",10
"的確",10
"表達",10
"保護",10
"咳",10
"咻",10
"很大",10
"既然",10
"洗版",10
"看書",10
"美國",10
"借",10
"哥哥",10
"校內",10
"消失",10
"留",10
"病",10
"閃",10
"唱歌",10
"唸書",10
"將",10
"從來",10
"從來不",10
"情侶",10
"教學",10
"條件",10
"淡定",10
"現場",10
"第二",10
"莫名其妙",10
"啾",10
"提出",10
"普通",10
"智商",10
"無",10
"程序",10
"進度",10
"飲料",10
"傷害",10
"嗚",10
"意外",10
"滑鼠",10
"當兵",10
"禁止",10
"補",10
"裝",10
"運動",10
"碩士班",10
"說明",10
"酸",10
"價值觀",10
"影片",10
"樓下",10
"確實",10
"蝦",10
"撿",10
"擔心",10
"親愛",10
"薪水",10
"還好",10
"懲罰",10
"齁",10
"騷擾",10
"囂張",10
"屬於",10
"驕傲",10
"0098",9
"84",9
"88",9
"B0",9
"cc",9
"html",9
"July",9
"LOL",9
"TRUE",9
"ㄚ",9
"一隻",9
"二樓",9
"人緣",9
"下課",9
"口罩",9
"大便",9
"女神",9
"小聲",9
"才藝",9
"不帥",9
"之外",9
"內",9
"內心",9
"反而",9
"太丑",9
"太陽",9
"少數",9
"文化",9
"欠",9
"父母",9
"半",9
"外校",9
"平等",9
"打開",9
"打算",9
"本",9
"生態",9
"任何人",9
"全都",9
"共同",9
"合",9
"回去",9
"地上",9
"好吃",9
"好笑",9
"好意思",9
"老公",9
"老爸",9
"耳機",9
"自信",9
"自從",9
"佔",9
"吳欣陽",9
"吼",9
"屁事",9
"弟弟",9
"快要",9
"投入",9
"沒事",9
"男宿",9
"走路",9
"委員會",9
"拖",9
"物化",9
"表面",9
"表現",9
"係",9
"保持",9
"保密",9
"信",9
"度",9
"建立",9
"指導教授",9
"政見",9
"某人",9
"看不懂",9
"面前",9
"原",9
"原文",9
"哪些",9
"家裡",9
"校外",9
"留下",9
"砰",9
"財金",9
"做事",9
"做到",9
"偶爾",9
"婊子",9
"專心",9
"強迫",9
"排名",9
"排擠",9
"梵谷",9
"殺",9
"習慣",9
"責任",9
"通常",9
"剩",9
"創意",9
"報名",9
"幾次",9
"換",9
"發言",9
"發展",9
"硬",9
"答案",9
"進行",9
"鄉民",9
"開會",9
"愛情",9
"當天",9
"當年",9
"碰到",9
"腦子",9
"腰",9
"跪求",9
"跳",9
"過來",9
"雷",9
"摸",9
"滿意",9
"管制",9
"管理",9
"語言",9
"辣",9
"廢文",9
"撈",9
"數",9
"樓",9
"潮",9
"練",9
"躺",9
"學代",9
"擋",9
"機率",9
"錄取",9
"餐廳",9
"默默",9
"優秀",9
"聲",9
"賺錢",9
"禮貌",9
"壞",9
"爆炸",9
"穩定",9
"權力",9
"體諒",9
"蠻",9
"觀念",9
"0094",8
"484",8
"7232",8
"Aye",8
"BE",8
"der",8
"elite",8
"GPA",8
"OO",8
"pass",8
"Q",8
"TAG",8
"ㄛ",8
"一屆",8
"一套",8
"一間",8
"一路",8
"一聲",8
"人們",8
"人會",8
"力量",8
"三校",8
"不回",8
"不幸",8
"不服",8
"不滿",8
"介紹",8
"仍",8
"公車",8
"化工系",8
"反駁",8
"太谷",8
"文組",8
"且",8
"包",8
"包包",8
"外文",8
"外表",8
"失去",8
"它們",8
"左右",8
"左邊",8
"正確",8
"生氣",8
"用心",8
"由於",8
"立場",8
"交換",8
"全世界",8
"危險",8
"吃屎",8
"同性",8
"同性戀",8
"名",8
"在於",8
"多次",8
"多數",8
"她們",8
"好奇",8
"宅",8
"年輕人",8
"式",8
"成果",8
"成為",8
"有用",8
"有趣",8
"次",8
"考卷",8
"吹",8
"忍不住",8
"快樂",8
"改善",8
"每年",8
"牠",8
"狂",8
"秀",8
"私訊",8
"究竟",8
"身分",8
"那天",8
"兩人",8
"兩次",8
"兩位",8
"制裁者",8
"味道",8
"呵",8
"姊",8
"始終",8
"往往",8
"抽到",8
"拉屎",8
"明年",8
"果然",8
"直屬",8
"肯定",8
"門口",8
"附中",8
"保證",8
"則是",8
"勇氣",8
"待",8
"看法",8
"計畫",8
"修課",8
"原則",8
"哲學",8
"家人",8
"家庭",8
"根本就是",8
"浴室",8
"留在",8
"留宿",8
"胸部",8
"隻",8
"乾脆",8
"問問",8
"國文",8
"基本",8
"張",8
"張嘴",8
"強調",8
"捷運",8
"排隊",8
"接下來",8
"接觸",8
"推",8
"理工",8
"畢業證書",8
"符合",8
"第",8
"第一場",8
"組織",8
"聊聊",8
"脫魯",8
"這條",8
"這群",8
"這點",8
"通通",8
"連署",8
"都還沒",8
"鳥",8
"博士",8
"提議",8
"插",8
"暑假",8
"替",8
"最終",8
"最愛",8
"棒",8
"無腦",8
"菁英",8
"順利",8
"黑色",8
"黑夜",8
"微甲",8
"想過",8
"搞定",8
"會長",8
"概念",8
"滑",8
"當個",8
"經歷",8
"經營",8
"萬",8
"補習班",8
"裝死",8
"運作",8
"過了",8
"團體",8
"寢室",8
"實作",8
"實說",8
"敲",8
"滿足",8
"演",8
"瘋狂",8
"碩士",8
"算了",8
"管道",8
"精神",8
"說過",8
"嘲諷",8
"寫著",8
"廢死",8
"廣告",8
"徵",8
"憤怒",8
"標準",8
"熱忱",8
"練習",8
"罷了",8
"適當",8
"學士",8
"學分",8
"學到",8
"膩",8
"尷尬",8
"聰明",8
"講的",8
"藍",8
"醫師",8
"醫學",8
"顏值",8
"難吃",8
"鹹",8
"魔人",8
"變",8
"變得",8
"觀察",8
"118",7
"306",7
"B7",7
"B9",7
"BB",7
"bbs",7
"By",7
"EE",7
"f",7
"FD",7
"fref",7
"GAY",7
"group",7
"OOO",7
"P",7
"ref",7
"TO",7
"udn",7
"ㄋ",7
"一名",7
"一副",7
"了吧",7
"了還",7
"人人",7
"人民",7
"人來",7
"也好",7
"大眾",7
"大會",7
"小圈圈",7
"工程師",7
"已讀",7
"干擾",7
"不去",7
"不要臉",7
"不得不",7
"不給",7
"不開",7
"不論",7
"不讀",7
"中華民國",7
"之一",7
"公開",7
"反觀",7
"太多",7
"心裡",7
"日子",7
"片",7
"王",7
"主持人",7
"付出",7
"加簽",7
"包裝",7
"卡",7
"可惜",7
"失戀",7
"平均",7
"平時",7
